Algoritmo utilizado,Teste 1,Teste 2,Teste 3,Teste 4,Teste 5,Teste 6,Teste 7,Teste 8,Teste 9,Teste 10,Teste 11,Teste 12,Teste 13,Teste 14,Teste 15,Teste 16,Teste 17,Teste 18,Teste 19,Teste 20,Teste 21,Teste 22,Teste 23,Teste 24,Teste 25,Teste 26,Teste 27,Teste 28,Teste 29,Teste 30,Teste 31,Teste 32,Teste 33,Teste 34,Teste 35,Teste 36,Teste 37,Teste 38,Teste 39,Teste 40,Teste 41,Teste 42,Teste 43,Teste 44,Teste 45,Teste 46,Teste 47,Teste 48,Teste 49,Teste 50,Teste 51,Teste 52,Teste 53,Teste 54,Teste 55,Teste 56,Teste 57,Teste 58,Teste 59,Teste 60,Teste 61,Teste 62,Teste 63,Teste 64,Teste 65,Teste 66,Teste 67,Teste 68,Teste 69,Teste 70,Teste 71,Teste 72,Teste 73,Teste 74,Teste 75,Teste 76,Teste 77,Teste 78,Teste 79,Teste 80,Teste 81,Teste 82,Teste 83,Teste 84,Teste 85,Teste 86,Teste 87,Teste 88,Teste 89,Teste 90,Teste 91,Teste 92,Teste 93,Teste 94,Teste 95,Teste 96,Teste 97,Teste 98,Teste 99,Teste 100
Bellman-Ford Lista,23923219,17525654,6500568,17346489,5290577,5283744,5247447,5284615,5253498,5282933,5242046,5573128,5223542,5344459,5318770,5237408,5254620,5291859,5235343,5234903,5269998,5303100,5301338,5236435,5315724,5236346,5296007,5233540,5238209,5224504,5249670,5255721,5226306,5215877,5223360,5224032,5377780,5236626,5311657,5279597,5261733,5246054,5250702,5253357,5228331,5255742,5239040,5236485,5252525,5237187,5223170,5296879,5241225,5224062,5266162,5245733,5251514,5221408,5221127,5241696,5313951,5219304,5217580,5265160,5226987,5247016,5220566,5245943,5278825,5211750,5226857,5217480,5235174,5250924,5235122,5245603,5206970,5219434,5219333,5233089,5246906,5206759,5244801,5233009,5211849,5256252,5209766,5276501,5268475,5215877,5221047,5216157,5238348,5220756,5213182,5218422,5213422,5249420,5220446,5249751
Bellman-Ford Matriz,32590323,28048490,20423392,20255748,20273701,20274733,20263262,20253674,20234698,20242011,20282278,20398645,20298838,20271397,20300753,20353631,20277799,20287447,20327532,20323134,20309569,20290132,20283609,20256228,20291935,20285473,20259945,20226182,20243734,20276697,20247532,20248334,20243524,20244988,20281997,20304900,20309979,20328204,20286835,20234318,20267610,20252030,20273261,20302656,20286465,20255908,20264504,20230050,20240709,20258372,20232885,20220762,20225482,20177952,20236160,20224549,20279974,20155480,20084376,20125965,20099695,20064228,20107579,20140992,20116386,20090928,20085879,20090468,20085879,20043399,20083575,20062966,20070720,20075319,20059239,20105756,20107038,20087893,20053107,20089515,20062765,20059470,20068266,20101878,20111156,20101318,20082863,20047055,20082893,20092382,20095417,20104403,20093694,20118861,20130733,20209811,20143166,20140261,20131194,20129150
Dijkstra Lista,6387956,2180050,1848539,1982299,804069,633148,613792,629952,693080,478137,367890,370084,597371,583214,356539,596510,592873,583905,427733,354385,587081,586560,354405,589265,363441,350989,393538,370064,346550,354946,350207,500960,361869,337233,537669,567585,558328,583094,581612,347903,569689,574217,344938,349256,588194,349445,348333,583936,349346,565942,576993,348174,575720,574899,348264,573076,416832,357991,553158,562215,336271,690596,341581,535104,342744,340669,566042,539973,562696,465003,335249,537218,398548,553188,326873,491051,350158,338846,556714,481704,330611,553128,334437,537238,348574,406422,562926,422393,345258,333876,557957,426040,348484,352711,347141,334107,565732,489969,560933,407584
Dijkstra Matriz,15782334,3582071,2116121,1889837,1060941,907152,959801,759085,804269,763152,876334,704452,971543,856287,788189,802867,791425,802285,702007,766168,862518,757791,757381,774343,727155,772560,830278,774193,632798,704522,690256,527290,630162,596359,658225,727365,675377,683573,655099,641194,663815,685276,678333,667602,691046,547317,647645,651692,633879,683913,788088,682631,667733,693441,673253,600887,596018,575860,631695,639510,535615,709241,603713,577744,579428,579207,612719,596931,558277,598172,587602,736392,659036,549131,607921,549351,582283,607190,721734,562235,585138,752662,583445,622718,698611,594596,715753,530495,593554,583334,573245,574538,565882,599024,566954,568487,750739,617439,760056,635763
