Algoritmo utilizado,Teste 1,Teste 2,Teste 3,Teste 4,Teste 5,Teste 6,Teste 7,Teste 8,Teste 9,Teste 10,Teste 11,Teste 12,Teste 13,Teste 14,Teste 15,Teste 16,Teste 17,Teste 18,Teste 19,Teste 20,Teste 21,Teste 22,Teste 23,Teste 24,Teste 25,Teste 26,Teste 27,Teste 28,Teste 29,Teste 30,Teste 31,Teste 32,Teste 33,Teste 34,Teste 35,Teste 36,Teste 37,Teste 38,Teste 39,Teste 40,Teste 41,Teste 42,Teste 43,Teste 44,Teste 45,Teste 46,Teste 47,Teste 48,Teste 49,Teste 50,Teste 51,Teste 52,Teste 53,Teste 54,Teste 55,Teste 56,Teste 57,Teste 58,Teste 59,Teste 60,Teste 61,Teste 62,Teste 63,Teste 64,Teste 65,Teste 66,Teste 67,Teste 68,Teste 69,Teste 70,Teste 71,Teste 72,Teste 73,Teste 74,Teste 75,Teste 76,Teste 77,Teste 78,Teste 79,Teste 80,Teste 81,Teste 82,Teste 83,Teste 84,Teste 85,Teste 86,Teste 87,Teste 88,Teste 89,Teste 90,Teste 91,Teste 92,Teste 93,Teste 94,Teste 95,Teste 96,Teste 97,Teste 98,Teste 99,Teste 100
Bellman-Ford Lista,91457269,80621137,39733014,39560030,39481312,39549611,40649665,39576522,39478226,39361828,39444273,39427491,39416461,39521708,39384992,39483116,39526587,40068034,40527816,41129635,40908110,39475772,39766206,39547717,39711905,39347501,40423350,39579165,40603498,39358281,39495139,39357931,39372658,39372639,39338785,39485249,40382944,39356007,39504997,39623779,39381565,39373551,41190509,42652623,39399468,39375955,39342322,41205588,39463198,39317464,41748136,39382586,39376466,39509765,41609315,41043673,41800384,41763805,39435006,39380513,39577863,40385229,39451616,39734578,39389390,39384560,39544892,39974868,39348834,39966342,39353763,39740638,39445875,39368391,39713618,39931817,39411611,39761047,39373190,39693641,39748163,39659427,39646813,39576411,39771978,39878868,39721643,39799790,39688541,39468859,39594574,39513663,39513443,39670898,39374542,40157311,39771217,40752888,39656381,39504265
Bellman-Ford Matriz,298027946,327731040,181736347,181257038,181300159,181229927,181106787,181159034,181559506,181490256,181552062,181479786,181610722,182026052,181595995,181540901,181491238,181468184,181489174,181506125,181649375,181571588,181545050,181683498,181629467,181716621,181531203,181647281,181649204,181557573,181528948,181569846,181390770,181620741,181542704,181769230,181628355,181672087,181610662,181514712,181454740,181312532,181322863,181483463,181446324,181377244,181487812,181681976,181597337,181369209,181251458,181458667,181641690,181507499,181629598,181544417,181584333,181344393,181345203,181342168,181401660,181435253,181635138,181497950,181511637,181607426,181511205,181858026,181502148,182216649,181607005,181331148,181234056,181574765,181632764,181556250,181578111,181422129,181660515,181541903,181421307,181527546,181493272,181355763,181511025,181438058,181512297,181410677,181459237,181460349,181496067,181507097,181432477,181324755,181175054,181359080,181690311,181506978,181447847,181500875
Dijkstra Lista,10729954,4379868,2877939,2515440,1969215,1858778,1672639,1911958,1304948,1814013,1758059,928112,1023420,1517347,1562352,1826247,1863646,1600554,1912408,1957894,1857906,1947915,1874638,928272,1898272,1814044,1607607,1835694,1485117,1788226,1776423,931138,1786893,1750645,1801050,1834562,1470309,1443618,1885518,1790490,925477,1272007,1753390,1644336,1835474,1158944,1864348,1784488,1866122,1652851,1652220,934644,1821999,1791631,1833441,1925503,1476892,1841015,916299,1830355,1487481,1758951,1861853,1971970,1154486,1908461,1179023,1797292,942939,1858908,1739705,1329866,1666126,1766645,1552252,1739484,1773017,1810487,1318154,1764100,1811659,1857265,1856002,1864078,1204220,1244244,1762027,1895476,1040142,1132175,1829914,1135310,1717142,1519902,1238224,1643324,1559406,1037777,1607917,1627214
Dijkstra Matriz,21066489,5505260,2419740,2730654,2346573,2466789,2531349,2098428,2016113,2011263,2300426,2223902,1962443,1919601,1898573,2360840,1912499,1915405,2110040,2279908,2249501,2214896,2333569,1883955,2079793,1885418,2141609,1897861,1864980,2311527,2148552,1878986,1889986,1927357,2358555,2106433,1870039,1851043,2408911,2069874,1889906,1879096,1874277,2332347,1883935,1835003,2046921,2319413,2302881,2343697,1881300,1871361,2361301,1910795,2088589,2362834,1856043,1889385,1853227,2255572,1858708,2108035,1896097,2394513,1835754,1836275,1938477,2015562,1861423,2037653,2072439,2038565,1963034,2066297,2043003,2042433,2039947,2030460,2017456,2085634,2024759,1982850,2040268,2079091,1970317,2013769,2015813,2007667,2049436,2055487,1968804,1964517,2019569,2032093,1960739,2056709,2028326,2067830,1998149,2036301
