Algoritmo utilizado,Teste 1,Teste 2,Teste 3,Teste 4,Teste 5,Teste 6,Teste 7,Teste 8,Teste 9,Teste 10,Teste 11,Teste 12,Teste 13,Teste 14,Teste 15,Teste 16,Teste 17,Teste 18,Teste 19,Teste 20,Teste 21,Teste 22,Teste 23,Teste 24,Teste 25,Teste 26,Teste 27,Teste 28,Teste 29,Teste 30,Teste 31,Teste 32,Teste 33,Teste 34,Teste 35,Teste 36,Teste 37,Teste 38,Teste 39,Teste 40,Teste 41,Teste 42,Teste 43,Teste 44,Teste 45,Teste 46,Teste 47,Teste 48,Teste 49,Teste 50,Teste 51,Teste 52,Teste 53,Teste 54,Teste 55,Teste 56,Teste 57,Teste 58,Teste 59,Teste 60,Teste 61,Teste 62,Teste 63,Teste 64,Teste 65,Teste 66,Teste 67,Teste 68,Teste 69,Teste 70,Teste 71,Teste 72,Teste 73,Teste 74,Teste 75,Teste 76,Teste 77,Teste 78,Teste 79,Teste 80,Teste 81,Teste 82,Teste 83,Teste 84,Teste 85,Teste 86,Teste 87,Teste 88,Teste 89,Teste 90,Teste 91,Teste 92,Teste 93,Teste 94,Teste 95,Teste 96,Teste 97,Teste 98,Teste 99,Teste 100
Bellman-Ford Lista,22304081,30341743,2320644,2292842,2119247,2098257,2106774,2126920,2118585,2106373,2102715,2107364,2097556,2098337,2112694,2125879,2119116,2108637,2129025,2118846,2110881,2103747,2109508,2142069,2107835,2105732,2109778,2124477,2124006,2123725,2124416,2111993,2109558,2095061,2098558,2104909,2104579,2106283,2103147,2107064,2097055,2098378,2098578,2104409,2105200,2104299,2105361,2103958,2102325,2095372,2099409,2108357,2112895,2111642,2094791,2101944,2092045,2106974,2106843,2108226,2094300,2101132,2094841,2096724,2099810,2105641,2107735,2101082,2103497,2098568,2109117,2106834,2095953,2107474,2098839,2094921,2107485,2102806,2107945,2102395,2098057,2098638,2098217,2109087,2119226,2108366,2096545,2094269,2107024,2099841,2104359,2109819,2098197,2099319,2125107,2095232,2105561,2124897,2122543,2111923
Bellman-Ford Matriz,8458993,2310265,2105151,1012100,915407,901552,924175,915708,910939,914255,908525,917231,900489,900921,907954,904929,897955,898375,896322,896983,916870,911891,914926,916169,900940,898235,898085,896522,896582,901160,897604,894578,899858,903365,901723,896923,893667,893867,893577,895490,903676,893266,897474,891633,896592,894859,896803,904888,892144,892544,892184,898215,899087,897343,909187,904176,892525,895500,901021,893387,900179,906241,892114,895440,893116,897223,901652,908985,899087,891163,897644,890902,889519,899247,899929,900350,894759,893627,895219,897745,911601,892846,897945,893777,893316,889589,890741,899929,897474,893607,898206,893997,894499,904236,901742,893637,896362,896953,899588,891021
Dijkstra Lista,4872653,1079245,998454,900650,878949,884730,915337,323247,208471,172263,173936,179056,194756,178645,194856,188354,185679,181651,195056,293351,271570,268223,280857,283853,288602,272321,270397,286828,307387,386806,126988,110267,94177,92493,95870,93265,91722,101851,93746,92553,91832,91972,92303,96021,98835,101951,99106,96441,91682,89528,91702,94076,112682,104747,91712,97824,92393,93005,93165,91672,91252,95609,91291,91802,92674,91050,89689,91381,94297,93575,91141,93456,93726,92063,91942,93225,91842,91612,93625,91672,92153,100478,91131,90901,94878,91662,91341,91312,91452,95059,91411,91561,91331,91481,91812,91342,91562,94167,102553,95569
Dijkstra Matriz,14741781,1958485,1564466,1284230,1147774,1333653,801103,618841,402936,494457,410891,413587,384562,400261,430788,419888,397245,404880,424496,402836,399951,384000,425378,426180,396183,374553,349746,383189,370475,362150,334267,397566,326603,347593,346530,348164,332444,329959,325211,333686,341130,344136,335800,320021,348414,349666,323317,324068,349346,328396,335519,376908,467748,291406,265628,355937,241894,255079,267291,251372,266891,359464,349826,244228,379031,236574,251341,336742,255159,312696,252304,242435,250700,249518,357290,267863,269085,354175,281698,237817,376907,364714,352912,311385,256571,252294,254748,248867,266651,266921,374542,292899,262212,406953,250009,378460,307948,251512,250290,275016
