Algoritmo utilizado,Teste 1,Teste 2,Teste 3,Teste 4,Teste 5,Teste 6,Teste 7,Teste 8,Teste 9,Teste 10,Teste 11,Teste 12,Teste 13,Teste 14,Teste 15,Teste 16,Teste 17,Teste 18,Teste 19,Teste 20,Teste 21,Teste 22,Teste 23,Teste 24,Teste 25,Teste 26,Teste 27,Teste 28,Teste 29,Teste 30,Teste 31,Teste 32,Teste 33,Teste 34,Teste 35,Teste 36,Teste 37,Teste 38,Teste 39,Teste 40,Teste 41,Teste 42,Teste 43,Teste 44,Teste 45,Teste 46,Teste 47,Teste 48,Teste 49,Teste 50,Teste 51,Teste 52,Teste 53,Teste 54,Teste 55,Teste 56,Teste 57,Teste 58,Teste 59,Teste 60,Teste 61,Teste 62,Teste 63,Teste 64,Teste 65,Teste 66,Teste 67,Teste 68,Teste 69,Teste 70,Teste 71,Teste 72,Teste 73,Teste 74,Teste 75,Teste 76,Teste 77,Teste 78,Teste 79,Teste 80,Teste 81,Teste 82,Teste 83,Teste 84,Teste 85,Teste 86,Teste 87,Teste 88,Teste 89,Teste 90,Teste 91,Teste 92,Teste 93,Teste 94,Teste 95,Teste 96,Teste 97,Teste 98,Teste 99,Teste 100
Bellman-Ford Lista,34155541,22637126,22025739,11905589,11706846,11715713,11764936,11651813,11679515,11669857,11621286,11728337,11632277,11635232,11809129,11678453,11694454,11633298,11618771,11667252,11677692,11647174,11617288,11724259,11627437,11686909,11641163,11725441,11687551,11752072,11608612,11675938,11624582,11686509,11663566,11609795,11745560,11735139,11678914,11689353,11693712,11629090,11629491,11748334,11654708,11724480,11738937,11680587,11699553,11618030,11612650,11625875,11680207,11679245,11630093,11668444,11673874,11606087,11839385,11634881,11672052,11749196,11628320,11673504,11705424,11617399,11686609,11688141,11678694,11749437,11603993,11717947,11676890,11693562,11621005,11613010,11676519,11686819,11603422,11615536,11629361,11711845,11742674,11740480,11658717,11701506,11691087,11603032,11624241,11609964,11653997,11621527,11616417,11614363,11643428,11607530,11648007,11610826,11665329,11630434
Bellman-Ford Matriz,42788899,38237218,23842037,23448919,23219048,23099714,23021868,22884080,22854343,22856668,22846028,22724019,22772750,22754106,22673093,22691969,22622569,22637657,22619082,22598894,22602902,22634180,22573026,22544803,22544542,22590909,22637246,22756570,22571092,22574659,22537089,22496482,22561855,22497905,22512703,22527681,22445006,22344406,22487355,22492585,22529323,22465955,22599856,22508224,22496292,22469231,22461897,22501602,22473699,22534644,22535535,22505108,22507483,22414578,22512022,22481114,22445947,22403167,22406454,22354987,22409469,22295475,22393730,22442491,22332665,22327765,22380715,22337053,22281108,22219322,22361098,22291999,22289393,22327655,22333586,22349837,22300805,22312948,22327235,22324199,22317005,22285226,22226005,22250390,22299583,22265209,22316104,22339237,22310012,22328607,22303860,22228920,22216908,22353043,22303299,22332285,22368933,22261460,22227226,22344938
Dijkstra Lista,7106113,3243666,1100145,895771,587592,549732,398518,420429,340880,422713,440797,397225,446789,454473,341792,381596,440226,341371,422442,360286,414307,442620,409117,356679,421110,407986,498796,349055,364965,337444,433965,347983,444264,406813,341992,432231,457458,408857,406543,411883,343364,463470,405451,336602,393759,486603,448011,417192,341110,344897,456136,379953,396925,355006,342563,376377,375866,415840,336701,421420,440376,463659,349566,547758,434866,358463,426770,345508,394991,377829,384471,338204,422743,446478,414228,422543,415240,411482,348283,334608,405711,420990,386375,397065,381787,447750,333997,409799,343314,417944,353793,414187,467988,347251,411352,409429,351299,342823,338004,427162
Dijkstra Matriz,15441295,3374743,2055287,1695371,1025574,841048,1012100,697538,713358,636204,870393,658014,625764,859913,692228,777719,632377,633438,770996,636875,677822,632096,608152,605987,636915,623530,743866,754586,752221,595147,718959,477767,561984,607440,596369,604264,696798,673143,600527,664286,626336,505969,668535,564769,548339,667784,514695,683853,549161,582944,572274,677020,527509,575180,599775,575160,577494,604525,576292,608061,581261,701075,558939,638989,605827,552828,614593,558167,671159,573446,598744,670548,656452,576762,577784,741461,696006,553849,545754,553278,599615,667222,596188,556043,664127,681549,570631,560152,569368,666811,558438,584557,509797,559319,543570,696086,578265,578145,576842,579988
