Algoritmo utilizado,Teste 1,Teste 2,Teste 3,Teste 4,Teste 5,Teste 6,Teste 7,Teste 8,Teste 9,Teste 10,Teste 11,Teste 12,Teste 13,Teste 14,Teste 15,Teste 16,Teste 17,Teste 18,Teste 19,Teste 20,Teste 21,Teste 22,Teste 23,Teste 24,Teste 25,Teste 26,Teste 27,Teste 28,Teste 29,Teste 30,Teste 31,Teste 32,Teste 33,Teste 34,Teste 35,Teste 36,Teste 37,Teste 38,Teste 39,Teste 40,Teste 41,Teste 42,Teste 43,Teste 44,Teste 45,Teste 46,Teste 47,Teste 48,Teste 49,Teste 50,Teste 51,Teste 52,Teste 53,Teste 54,Teste 55,Teste 56,Teste 57,Teste 58,Teste 59,Teste 60,Teste 61,Teste 62,Teste 63,Teste 64,Teste 65,Teste 66,Teste 67,Teste 68,Teste 69,Teste 70,Teste 71,Teste 72,Teste 73,Teste 74,Teste 75,Teste 76,Teste 77,Teste 78,Teste 79,Teste 80,Teste 81,Teste 82,Teste 83,Teste 84,Teste 85,Teste 86,Teste 87,Teste 88,Teste 89,Teste 90,Teste 91,Teste 92,Teste 93,Teste 94,Teste 95,Teste 96,Teste 97,Teste 98,Teste 99,Teste 100
Bellman-Ford Lista,16535577,30951988,1321840,1302875,1160548,1031786,1576989,1586847,1345344,1044229,1076289,1080377,1139648,1033029,1036636,1029903,1030604,1030564,1036716,1059448,1026796,1038128,1026176,1031245,1079225,1046183,1032087,1029271,1035252,1029662,1082210,1045742,1030183,1032437,1030844,1039030,1055881,1029702,1040713,1030303,1032207,1031095,1056713,1027709,1035232,1059337,1027167,1025724,1028961,1027478,1026406,1026055,1030043,1026746,1044089,1042827,1030694,1027848,1043067,1030664,1052725,1044079,1031776,1030373,1033669,1030103,1038709,1037617,1025916,1031446,1043077,1032187,1029181,1030353,1029021,1025094,1029141,1028911,1040131,1031876,1029622,1032929,1028830,1028370,1025364,1024873,1047705,1030934,1029161,1226621,1042225,1029171,1025113,1030013,1032257,1029021,1025544,1028740,1028890,1037076
Bellman-Ford Matriz,8212069,2614125,2464424,1783347,1557402,1430444,1819073,1916386,1514611,1376713,1379498,1455090,1515213,1356746,1351747,1320027,1304749,1298306,1324776,1295280,1299488,1251869,1254754,1270965,1314737,1252591,1291573,1250977,1251939,1255867,1268270,1247551,1254233,1216022,1233695,1264993,1257509,1236530,1266146,1253171,1243563,1256227,1279791,1252300,1242501,1222744,1246950,1231280,1202035,1237111,1201154,1195142,1203949,1233314,1245577,1216944,1254283,1227093,1248052,1256207,1275864,1250907,1253973,1262159,1238764,1263601,1258742,1254144,1253101,1249575,1274021,1201254,1230819,1189071,1188661,1173582,1190163,1155508,1146872,1168332,1142563,1138436,1128828,1143957,1153054,1131583,1140901,1126624,1155327,1189291,1142714,1135701,1196735,1140640,1140991,1115213,1133527,1147693,1138295,1151841
Dijkstra Lista,4897019,730000,863180,564720,564680,531137,557757,740680,559680,556514,663676,230172,140113,104486,104276,106049,113994,105198,107863,106971,106199,103444,104616,110297,126156,104736,114996,111670,129322,116428,136245,106880,130805,129894,110788,106099,99818,170981,108484,171702,110317,173937,111028,350928,118492,102393,56897,67847,57277,56857,57758,57317,56597,57197,65783,57598,66916,62908,64111,60072,68880,65423,57378,56747,60534,57088,56907,56806,57007,59351,71504,56806,57477,56606,56406,56406,56526,56455,56346,56766,56516,56567,56697,56666,56356,56165,56666,57097,56536,114004,63820,56476,57137,56476,56727,56356,56486,56426,56395,56906
Dijkstra Matriz,14603742,2371209,2052362,1591336,1116004,1911015,1175456,995618,348544,462228,566713,520146,402566,392937,406022,373010,387357,400381,410330,356739,376246,390673,423785,396905,435196,371507,376666,387306,397285,374122,456627,400662,466575,444955,437471,334177,362861,414568,445566,401944,399851,355957,440637,385283,417934,422332,402154,394270,402746,394631,405701,399219,481283,445486,401483,391014,384592,365926,336973,343074,352281,356640,357781,334528,359635,335549,334728,339326,322134,332113,256001,251603,241573,181391,180619,238949,240842,236914,242725,229020,238257,241683,244108,237887,265088,241303,239139,235973,246873,275026,179637,179436,226124,225343,234250,241323,246814,244058,245410,259777
