Algoritmo utilizado,Teste 1,Teste 2,Teste 3,Teste 4,Teste 5,Teste 6,Teste 7,Teste 8,Teste 9,Teste 10,Teste 11,Teste 12,Teste 13,Teste 14,Teste 15,Teste 16,Teste 17,Teste 18,Teste 19,Teste 20,Teste 21,Teste 22,Teste 23,Teste 24,Teste 25,Teste 26,Teste 27,Teste 28,Teste 29,Teste 30,Teste 31,Teste 32,Teste 33,Teste 34,Teste 35,Teste 36,Teste 37,Teste 38,Teste 39,Teste 40,Teste 41,Teste 42,Teste 43,Teste 44,Teste 45,Teste 46,Teste 47,Teste 48,Teste 49,Teste 50,Teste 51,Teste 52,Teste 53,Teste 54,Teste 55,Teste 56,Teste 57,Teste 58,Teste 59,Teste 60,Teste 61,Teste 62,Teste 63,Teste 64,Teste 65,Teste 66,Teste 67,Teste 68,Teste 69,Teste 70,Teste 71,Teste 72,Teste 73,Teste 74,Teste 75,Teste 76,Teste 77,Teste 78,Teste 79,Teste 80,Teste 81,Teste 82,Teste 83,Teste 84,Teste 85,Teste 86,Teste 87,Teste 88,Teste 89,Teste 90,Teste 91,Teste 92,Teste 93,Teste 94,Teste 95,Teste 96,Teste 97,Teste 98,Teste 99,Teste 100
Bellman-Ford Lista,10098670,21636128,326863,339497,319610,323818,321563,324889,320111,378991,317917,317987,317746,320291,319620,317906,356328,318106,322045,318608,324409,318017,343044,325360,363983,318588,346861,338405,322526,386074,450625,453712,318177,317285,341881,317236,318137,330761,316654,315833,316284,320672,316403,316103,316254,421321,316594,319991,317055,418716,321293,317837,316053,317095,320151,321504,334508,316213,315272,346881,324098,322164,317766,316965,317816,317956,316144,317025,317996,418655,418786,334157,320101,318748,316844,322706,321032,316474,316063,320451,316975,316374,315752,330931,320542,316263,315863,315843,319730,315983,322556,331192,320531,318187,315923,328997,325510,316263,316203,338585
Bellman-Ford Matriz,5496162,13910171,677812,613691,598043,588935,591540,588594,598824,583765,582112,577033,578676,587983,577533,581081,576622,576913,576532,580019,577214,591410,576091,586230,576141,579117,578746,587412,584056,578025,659257,642496,582743,582322,581160,577765,580229,575439,575940,577183,587342,573847,574719,585648,580349,582873,589506,574578,573405,593734,573746,573065,591671,573055,572985,611287,579357,573336,592722,579528,576071,597952,572394,572485,588875,574287,572865,589557,577383,608662,606488,571071,577784,585619,578635,570500,570420,572394,574318,571212,573817,575620,579838,574518,571803,575730,587242,576432,572936,582894,583274,579948,573145,575660,599485,596670,586881,576702,580249,573436
Dijkstra Lista,4738522,382618,305713,235432,227887,231785,270909,225744,221896,217338,217518,207419,217378,215454,210485,213501,212008,213761,206197,214151,211848,208170,212459,283522,241453,214683,235813,314280,250430,284173,206598,133540,61866,101751,57047,72647,57618,53390,49032,49482,53029,54532,51517,49022,71824,75702,56356,52308,48170,71054,56035,47168,50394,57297,62518,102032,61876,50444,50404,111800,161764,107001,53360,49042,108955,51838,64571,50675,96291,53891,55394,54342,128411,47970,55144,46989,145382,50344,51346,44553,37000,36248,39464,31529,44533,36739,33102,35968,30898,31479,58810,43883,33804,31219,91051,84168,45275,31398,34896,37280
Dijkstra Matriz,17323295,2010924,1556611,1278809,1144357,1242873,1130331,812174,588845,409899,395011,448772,379662,390242,385573,384030,380624,381666,391605,376787,373601,361558,378801,427963,374242,369604,476033,534533,357671,484850,515117,384251,354555,372098,374293,416651,327174,318347,311534,323447,316665,320922,313098,318488,417082,339076,347702,326903,323317,329107,322836,327194,342152,327485,342693,437912,335710,310773,319770,418355,347642,353052,320702,370816,394751,367971,328887,297538,297909,321704,314811,327805,294032,281618,306775,307246,333696,327074,288591,320341,298590,287669,296346,297979,290685,290935,286478,290545,287950,287810,422382,293661,311224,289533,382488,397235,302818,306605,316404,279965
