Algoritmo utilizado,Teste 1,Teste 2,Teste 3,Teste 4,Teste 5,Teste 6,Teste 7,Teste 8,Teste 9,Teste 10,Teste 11,Teste 12,Teste 13,Teste 14,Teste 15,Teste 16,Teste 17,Teste 18,Teste 19,Teste 20,Teste 21,Teste 22,Teste 23,Teste 24,Teste 25,Teste 26,Teste 27,Teste 28,Teste 29,Teste 30,Teste 31,Teste 32,Teste 33,Teste 34,Teste 35,Teste 36,Teste 37,Teste 38,Teste 39,Teste 40,Teste 41,Teste 42,Teste 43,Teste 44,Teste 45,Teste 46,Teste 47,Teste 48,Teste 49,Teste 50,Teste 51,Teste 52,Teste 53,Teste 54,Teste 55,Teste 56,Teste 57,Teste 58,Teste 59,Teste 60,Teste 61,Teste 62,Teste 63,Teste 64,Teste 65,Teste 66,Teste 67,Teste 68,Teste 69,Teste 70,Teste 71,Teste 72,Teste 73,Teste 74,Teste 75,Teste 76,Teste 77,Teste 78,Teste 79,Teste 80,Teste 81,Teste 82,Teste 83,Teste 84,Teste 85,Teste 86,Teste 87,Teste 88,Teste 89,Teste 90,Teste 91,Teste 92,Teste 93,Teste 94,Teste 95,Teste 96,Teste 97,Teste 98,Teste 99,Teste 100
Bellman-Ford Lista,16553561,21204328,2412848,2134115,8908516,3016791,2934235,2957740,1451894,1449320,1429853,1426617,1426616,1445613,1434372,1445111,1471621,1449199,1451864,1438680,1427489,1444520,1442506,1436575,1434101,1433770,1446755,1427358,1429522,1428000,1453197,1507549,1423822,1432428,1449630,1436806,1424493,1425545,1441615,1427208,1428951,1428370,1440593,1426737,1443248,1439532,1477673,1427559,1431646,1438740,1443829,1422058,1431316,1439461,1451694,1426858,1424503,1427810,1429381,1424463,1458397,1425415,1423762,1426817,1429101,1417410,1418151,1435343,1425234,1427739,1422179,1421087,1421758,1424483,1422630,1420736,1437057,1425184,1422239,1422519,1433961,1421518,1427548,1438038,1421758,1429282,1426086,1435864,1421508,1424704,1427389,1425104,1439050,1430685,1980927,1422760,1421918,1427098,1424483,1424533
Bellman-Ford Matriz,8866035,2676512,1201715,1061272,1041625,1034621,1031946,1018952,1019953,1017319,1031415,1025043,1019383,1020736,1014724,1032898,1029952,1025705,1022789,1028260,1019603,1020745,1005918,1038879,1020595,997943,1017029,1020685,1015195,1012540,1007280,1006458,1030263,1016307,1009674,1012240,1026586,1019473,1004615,1029351,1001098,1004686,999756,1014574,1008683,1015175,1021276,1025895,1011929,1013351,1017509,1024182,1014584,1006619,1013061,1012069,1012370,1010977,1013281,1012740,998674,1013111,1015435,1015185,1010967,1013923,1006108,1007561,1018642,1012720,995528,1000698,1013752,1008863,1010135,1015946,1004645,1013663,1024924,1014203,1009114,1006829,1015556,1017218,1033630,1007791,1009434,1000928,1008763,1013512,1009174,1013962,1008092,990068,1003192,1014073,1005246,994527,1005798,1009214
Dijkstra Lista,4709186,958448,819197,704572,733185,769835,737754,742613,216937,176672,144571,176862,148890,165010,148489,158267,156674,153618,150262,151654,179096,154480,228970,229731,217808,203101,202019,197190,160501,258405,302408,230793,219943,183444,215374,115156,89488,97573,93635,88476,89017,84539,93165,112591,101180,147457,94207,89769,90059,94337,88466,92133,86903,101921,90620,98385,73658,72696,73197,72816,77505,73668,73998,72596,73147,72757,73207,73057,72536,72677,72236,72215,72255,76264,72355,72737,73599,72566,72245,72435,72586,72346,72647,72517,73688,73508,72586,72416,72426,72687,74279,76483,72846,74930,72326,72205,72546,76073,72576,72757
Dijkstra Matriz,14832722,2126339,1714307,1589773,1446574,1669612,935305,710913,452869,410891,448161,430167,435558,434355,399911,431189,453501,376427,411181,377789,385784,449543,381456,375254,392597,373561,378611,355737,412825,371737,392857,343104,353193,389641,340459,391985,376466,378059,374934,358984,367139,351009,383580,408106,381556,387898,388028,369283,358052,415560,347191,365536,442751,471545,368211,398138,308439,314220,309661,299722,300484,295375,225954,186079,245801,249207,299191,225533,254077,264747,239099,242675,365176,253396,190136,253796,248636,248096,384110,268373,245451,236854,351529,246763,370224,379442,246733,250430,249759,246232,226184,228970,253275,189837,186310,253175,266210,231124,238216,339727
