Algoritmo utilizado,Teste 1,Teste 2,Teste 3,Teste 4,Teste 5,Teste 6,Teste 7,Teste 8,Teste 9,Teste 10,Teste 11,Teste 12,Teste 13,Teste 14,Teste 15,Teste 16,Teste 17,Teste 18,Teste 19,Teste 20,Teste 21,Teste 22,Teste 23,Teste 24,Teste 25,Teste 26,Teste 27,Teste 28,Teste 29,Teste 30,Teste 31,Teste 32,Teste 33,Teste 34,Teste 35,Teste 36,Teste 37,Teste 38,Teste 39,Teste 40,Teste 41,Teste 42,Teste 43,Teste 44,Teste 45,Teste 46,Teste 47,Teste 48,Teste 49,Teste 50,Teste 51,Teste 52,Teste 53,Teste 54,Teste 55,Teste 56,Teste 57,Teste 58,Teste 59,Teste 60,Teste 61,Teste 62,Teste 63,Teste 64,Teste 65,Teste 66,Teste 67,Teste 68,Teste 69,Teste 70,Teste 71,Teste 72,Teste 73,Teste 74,Teste 75,Teste 76,Teste 77,Teste 78,Teste 79,Teste 80,Teste 81,Teste 82,Teste 83,Teste 84,Teste 85,Teste 86,Teste 87,Teste 88,Teste 89,Teste 90,Teste 91,Teste 92,Teste 93,Teste 94,Teste 95,Teste 96,Teste 97,Teste 98,Teste 99,Teste 100
Bellman-Ford Lista,12202877,36280997,1358800,1408143,668004,661751,658806,662783,659497,665800,655370,656442,657534,660700,718208,662413,658756,673644,662423,659427,657493,657493,701125,658105,661091,657413,661431,655760,669847,654879,669857,659337,659277,763162,1057144,1035433,660198,659898,656672,657363,664506,662634,660870,655310,659027,655780,657343,659427,659888,655029,668835,669016,654148,671760,654498,851087,1067813,713008,665068,654738,654178,653676,654248,654829,657494,655710,654478,654207,655330,654668,654739,654468,654248,654448,654849,655079,654849,769765,1058807,1045873,661461,655320,655090,654979,656182,653926,655029,654658,654418,658435,658035,658345,658535,655660,654157,669366,654588,661091,655070,664898
Bellman-Ford Matriz,7067993,4634988,1675694,1629147,1409314,1233614,1147723,1072893,1051023,1015696,1012730,1001980,1039350,1137876,1002581,1023059,1006228,1006649,979137,989437,1001810,958108,983475,966243,988725,971663,992672,942579,962877,934504,950584,945254,940174,1251709,1401439,1058166,999886,978115,986982,960573,980891,967055,948510,946195,929674,957397,943010,964951,950403,1000978,949762,954351,946737,962437,1037096,1297294,1384859,987753,957727,965381,937059,961724,939874,962356,957778,962987,946526,970280,945664,960082,952808,966494,947759,943500,956425,938280,939884,1072452,1380690,1088232,968768,941687,933361,936567,927560,935545,951335,929494,922762,917071,933953,911861,902603,896322,905329,897033,909156,900029,899167,889098
Dijkstra Lista,4364068,535866,475562,397205,375084,372760,395452,406212,363583,367149,360436,384562,382698,513714,423044,221225,114735,85992,86523,84468,100709,84258,80752,85761,85460,83337,81714,86322,81413,98725,93646,79960,80291,180359,96832,100058,88225,84509,74008,148308,75441,153769,77094,145573,83066,191690,73939,150242,71534,139151,80050,70573,49382,48250,95890,78507,69110,94637,54141,45776,44083,46437,49944,42379,43131,40165,40346,40205,40125,40055,40677,39845,40045,40155,40095,40345,39805,86102,46076,64572,42430,40446,40195,39804,40135,41979,39895,40757,40226,39915,39945,39744,39864,40055,39845,40055,40115,39845,40056,40135
Dijkstra Matriz,14395582,2012036,1512298,1752368,1471381,1677969,1093051,752251,512211,437701,503124,446317,451818,494528,523632,500449,477236,502533,477176,446948,423404,299712,428364,408877,496131,451918,443653,461416,440186,440827,434856,445285,449985,542929,532309,474901,444484,443492,459863,456457,419868,429075,423235,416702,410731,430077,427452,414748,413445,431640,409187,412474,505018,440727,729679,516970,501220,526267,436128,398347,381195,393789,409688,349296,335870,355346,360557,346681,376937,345748,344236,343705,349496,360727,345398,354495,341250,464071,401062,398738,349296,346781,354576,346269,375715,363092,370385,351239,298901,275376,280036,287921,296546,289904,295865,305594,313368,280476,286046,283792
