Algoritmo utilizado,Teste 1,Teste 2,Teste 3,Teste 4,Teste 5,Teste 6,Teste 7,Teste 8,Teste 9,Teste 10,Teste 11,Teste 12,Teste 13,Teste 14,Teste 15,Teste 16,Teste 17,Teste 18,Teste 19,Teste 20,Teste 21,Teste 22,Teste 23,Teste 24,Teste 25,Teste 26,Teste 27,Teste 28,Teste 29,Teste 30,Teste 31,Teste 32,Teste 33,Teste 34,Teste 35,Teste 36,Teste 37,Teste 38,Teste 39,Teste 40,Teste 41,Teste 42,Teste 43,Teste 44,Teste 45,Teste 46,Teste 47,Teste 48,Teste 49,Teste 50,Teste 51,Teste 52,Teste 53,Teste 54,Teste 55,Teste 56,Teste 57,Teste 58,Teste 59,Teste 60,Teste 61,Teste 62,Teste 63,Teste 64,Teste 65,Teste 66,Teste 67,Teste 68,Teste 69,Teste 70,Teste 71,Teste 72,Teste 73,Teste 74,Teste 75,Teste 76,Teste 77,Teste 78,Teste 79,Teste 80,Teste 81,Teste 82,Teste 83,Teste 84,Teste 85,Teste 86,Teste 87,Teste 88,Teste 89,Teste 90,Teste 91,Teste 92,Teste 93,Teste 94,Teste 95,Teste 96,Teste 97,Teste 98,Teste 99,Teste 100
Bellman-Ford Lista,543587010,527816358,332845267,333808864,330338113,329902064,330118280,330465091,329415732,330499966,330801923,330639238,332527430,330339405,330306232,330921587,329345660,330102610,330280033,330242112,330491991,329647165,329644892,330478015,329090863,331084563,329355819,330384209,331230696,330277939,330730138,330216174,330525975,330303818,329977976,330427299,330496530,329235022,332516390,330899667,330054290,331533355,331055027,329533753,330525504,330316963,330607638,331052472,330264484,331989441,330228987,331240315,329292531,330848400,329457189,330437850,330534722,333534310,330260347,333343833,337293113,334115491,334215618,344006179,350672257,331321667,329856097,331602805,349721954,352739746,346926438,334216831,331495774,330737802,331691672,332262623,331537382,331205320,330229579,332192582,332523854,331141009,333142655,332040106,331737970,332241764,332684445,332803098,331800056,333034802,331834450,331435622,331656627,331957861,330712244,331754550,332188214,331834359,333217054,331151017
Bellman-Ford Matriz,531408578,531631958,361386120,360126677,360389921,360271859,360175739,359485774,359414150,359709294,359687914,359352014,359586895,359012327,358442748,358794207,358899434,358754652,358655206,358221201,359870928,359140617,358390620,358708256,358555118,357943831,357509887,357916169,357505959,358086559,357974398,357954923,357706236,357669767,357570380,357628480,357247205,357013255,357615406,357313939,357683973,357681890,357551355,357355798,357521208,357532148,357241704,357799741,357257624,357026790,357399951,357492796,357376186,357115998,357520798,357096392,358834572,359343187,357665158,359453684,358904223,358557643,357009278,359898429,361110814,358369751,360318457,359146458,358436836,362201380,358705611,358797522,357910418,357590237,357722766,357405661,357548980,357169067,357437491,356964895,357294964,357539793,357343845,361272286,357105809,357072737,357367630,356848306,357068429,356807860,357126628,356968802,356610500,356584621,356330153,356572839,356527995,356807098,356716969,356530099
Dijkstra Lista,13904650,4070979,4060890,2910912,3406602,5566444,4312793,3709560,2879222,4186495,4344762,4825955,4377805,3482444,4437146,3512561,3743244,4016236,4090274,4607465,3686818,3847819,3406733,3871344,2865587,3856006,4211763,4306561,3870352,3681218,4263329,4296061,4270072,2831984,3234298,3852619,3815179,4073783,3185497,3024696,4140981,4081218,4358338,4340825,3272039,3003196,3934513,3925676,3920667,2819531,3790553,2819320,3713678,2850649,3231142,4847004,2886886,2918897,3639649,2924377,5253067,2984510,3931897,4053305,3009878,4708245,3450715,4209459,3078356,3562364,2973520,2965405,4150689,3306384,3196989,3548769,4225388,2719863,4048727,3885260,3813185,2710576,2891285,4040972,3898084,4656778,3975269,3936907,4008521,4013531,3703960,3379972,4296141,4367596,3121066,4282375,4945731,4615471,3567685,4498571
Dijkstra Matriz,20923871,5776569,2538373,2312699,2154513,2191592,2048765,2211811,2225576,2133904,2140497,2253428,2153321,2113446,2060136,2078871,2022545,2034939,2049356,2110560,2004732,2030901,2028175,2020581,2033816,2013498,2048844,2039697,2007166,1995154,2004341,2002908,2051389,1938898,1973163,1961521,2013558,2056298,1985816,2004070,1984644,1994493,2040198,2006515,2004040,1972231,2011304,1974976,2179059,2217421,2278515,2276101,1996286,1993110,2011545,1989333,1968905,1992318,2008739,2051489,2089621,2030671,1979765,2070465,2067901,2109128,2272534,2295558,1989854,2054716,2045318,2044145,1999231,2013207,2010993,2020732,2036201,2025821,2070825,2026883,1984814,1973673,1974806,1963875,1979324,2007056,2044988,1978944,1955189,1977952,2035389,1998941,2006655,2005874,2029468,1984283,2057150,2106883,2038415,2101193
