Algoritmo utilizado,Teste 1,Teste 2,Teste 3,Teste 4,Teste 5,Teste 6,Teste 7,Teste 8,Teste 9,Teste 10,Teste 11,Teste 12,Teste 13,Teste 14,Teste 15,Teste 16,Teste 17,Teste 18,Teste 19,Teste 20,Teste 21,Teste 22,Teste 23,Teste 24,Teste 25,Teste 26,Teste 27,Teste 28,Teste 29,Teste 30,Teste 31,Teste 32,Teste 33,Teste 34,Teste 35,Teste 36,Teste 37,Teste 38,Teste 39,Teste 40,Teste 41,Teste 42,Teste 43,Teste 44,Teste 45,Teste 46,Teste 47,Teste 48,Teste 49,Teste 50,Teste 51,Teste 52,Teste 53,Teste 54,Teste 55,Teste 56,Teste 57,Teste 58,Teste 59,Teste 60,Teste 61,Teste 62,Teste 63,Teste 64,Teste 65,Teste 66,Teste 67,Teste 68,Teste 69,Teste 70,Teste 71,Teste 72,Teste 73,Teste 74,Teste 75,Teste 76,Teste 77,Teste 78,Teste 79,Teste 80,Teste 81,Teste 82,Teste 83,Teste 84,Teste 85,Teste 86,Teste 87,Teste 88,Teste 89,Teste 90,Teste 91,Teste 92,Teste 93,Teste 94,Teste 95,Teste 96,Teste 97,Teste 98,Teste 99,Teste 100
Bellman-Ford Lista,181441937,170577359,90742969,90289167,89795882,90100835,89930525,88874402,88456489,88486104,88690267,88649211,88610097,88782390,88739490,88683274,88727588,88570092,88611149,88518275,88480774,88526008,88412557,88478250,88547028,88604347,88504469,88510149,88641486,114107971,114376264,114312906,114219670,114550431,114225852,114620272,114271858,114193571,114186288,114296735,114676277,115075627,114532206,114677489,114403796,114355024,114078926,114348652,114462265,114389970,114123610,114265857,114470351,114431218,114206236,114593211,114811390,114456274,114718176,114260227,114058668,114481722,114802865,114731460,115083842,113970653,115121372,114106048,114368029,114106799,114251450,114227014,114327683,114099706,113977076,114496510,113997022,114278882,114413955,114359823,114207227,114069449,114303728,114561832,114642664,114233456,114242754,114991268,114735007,114308837,114694842,114170198,114415588,114427119,114042077,113965995,114943789,114973745,114322734,114348572
Bellman-Ford Matriz,471463968,479924424,321358663,324334798,322092290,321255169,320820754,319821930,319656319,320324272,320736677,321259167,310465583,321348153,322252140,323744861,322302335,320548933,321272482,321955333,319213357,320370038,320931292,322654354,321337434,322772586,320084772,320501855,320442765,320762745,320073252,320816255,321618711,319779741,318587965,319511667,319080799,320183609,320476357,319892733,321043281,320017246,319613509,317583991,319070811,319721802,318272723,318871817,318804851,320327649,318792218,320304465,310993234,319644667,320294687,317823941,321261130,319078155,319728795,318962818,319925785,312700758,319303006,317487459,318759115,318269467,320551599,320588138,319604562,318496933,319751347,319877355,320422888,319846526,319570758,319847498,319697968,320316428,319937156,318436650,319406861,320113968,320257327,318621797,320067290,319806431,318050597,318115297,318615365,318408507,319960570,320343047,319097491,317959745,319720560,319980638,319305511,316296345,318445046,317941261
Dijkstra Lista,11882066,3168856,2567327,2391969,1985545,1882923,1993281,1797953,2244973,1326389,2642228,2493569,1896028,2446541,2679608,1972691,1641190,2092917,1731418,1232062,1262849,1466272,2303853,1850993,1862996,2447021,1666527,1722882,1806109,1490336,1978082,1915835,1736548,2081025,2012567,2504970,2016263,1697185,1949719,2252587,2071467,1941904,2256614,2125809,1869237,1799035,1885749,1646239,2310005,2192594,2488178,2102685,1891168,1225119,1407982,1942715,1203658,2106212,1772687,2223652,1730406,1323042,1739233,2063552,1887572,2490252,1909513,2630836,1303806,1243814,1740045,2294976,2105461,1512388,2049936,1876782,1864638,1470890,1894836,2453243,2586743,1225560,1632463,2051449,1903642,1491568,2561998,2777722,2045398,1812421,2430471,2831574,1992559,1834863,2082187,1690481,1990335,1802553,1787143,1802412
Dijkstra Matriz,23531605,10654663,2954284,2893920,2791397,2741825,2641276,2127852,2500642,2136499,2423898,2260150,2084502,2157949,2083600,2079572,2076626,2072729,2058122,2101093,1976990,2043625,2124346,2530689,2471598,2315174,2053613,2083470,4696332,2045438,2654060,2285128,2602704,2014049,2462020,2408479,2417095,1991416,1961791,1978422,2173478,2364967,2395275,2283093,2133544,2028226,2023506,2004862,2241075,1948116,2306218,2415442,2267745,1960960,1978532,2472570,2004191,1973042,1993781,1966470,2464775,1952083,1940641,1994332,2232669,2051289,2544304,2046169,2011996,2025591,2090011,2209365,2438225,2026282,2033686,2042152,2371199,2010622,2472991,2112825,2026312,2002057,2662656,2552690,2497597,1993300,2096364,2270901,1973564,1973473,2023627,2168509,1974025,2012086,2484321,2473111,2226959,2199447,1945590,2227630
