Algoritmo utilizado,Teste 1,Teste 2,Teste 3,Teste 4,Teste 5,Teste 6,Teste 7,Teste 8,Teste 9,Teste 10,Teste 11,Teste 12,Teste 13,Teste 14,Teste 15,Teste 16,Teste 17,Teste 18,Teste 19,Teste 20,Teste 21,Teste 22,Teste 23,Teste 24,Teste 25,Teste 26,Teste 27,Teste 28,Teste 29,Teste 30,Teste 31,Teste 32,Teste 33,Teste 34,Teste 35,Teste 36,Teste 37,Teste 38,Teste 39,Teste 40,Teste 41,Teste 42,Teste 43,Teste 44,Teste 45,Teste 46,Teste 47,Teste 48,Teste 49,Teste 50,Teste 51,Teste 52,Teste 53,Teste 54,Teste 55,Teste 56,Teste 57,Teste 58,Teste 59,Teste 60,Teste 61,Teste 62,Teste 63,Teste 64,Teste 65,Teste 66,Teste 67,Teste 68,Teste 69,Teste 70,Teste 71,Teste 72,Teste 73,Teste 74,Teste 75,Teste 76,Teste 77,Teste 78,Teste 79,Teste 80,Teste 81,Teste 82,Teste 83,Teste 84,Teste 85,Teste 86,Teste 87,Teste 88,Teste 89,Teste 90,Teste 91,Teste 92,Teste 93,Teste 94,Teste 95,Teste 96,Teste 97,Teste 98,Teste 99,Teste 100
Bellman-Ford Lista,45317282,22514066,8305725,8306427,8297750,8389692,8319370,8304993,8418827,8311847,8287440,8328828,8363454,8279656,8339448,8349096,8294603,8304843,8309172,8288382,8331794,8317136,8284865,8261713,8324701,8327496,8326454,8362982,8367370,8344077,8339428,8260290,8358583,8326805,8330822,8310073,8282210,8281860,8330861,8278464,8315603,8272442,8276630,8316315,8334608,8276360,8276790,8331754,8330291,8300074,8318708,8264688,8276039,8297229,8268015,8323147,8310203,8300515,8356220,8306627,8297730,8273995,8275617,8294283,8269678,8267693,8306887,8282271,8319581,8325331,8266992,8286158,8273184,8369053,8356209,8272372,8283243,8264608,8320843,8321565,8291067,8264146,8271230,8292230,8313490,8311035,8329079,8311315,8330531,8267422,8329620,8278874,8257114,8282271,8344256,8281800,8326984,8257374,8270719,8325893
Bellman-Ford Matriz,41696721,36855134,27746974,27698153,27566084,27543252,27549714,27512223,27623332,27577306,27572517,27554664,27548501,27520348,27518655,27647307,27568329,27654651,27577105,27512664,27472370,27514318,27539455,27464464,27603364,27579420,27683726,27532121,27527242,27533013,27540486,27543452,27502054,27523926,27535006,27635806,27484181,27498728,27463222,27482438,27505561,27430671,27530728,27498097,27480475,27471387,27484571,27440709,27436061,27432384,27438546,27452010,26941182,27581794,27444656,27485254,27498368,27488920,27433516,27413799,27385976,27399553,27354117,27321066,27390605,27425981,27397719,27335983,27296138,27359177,27322597,27292581,27289145,27354357,27376018,27344339,27306538,27341984,27332636,27310715,27371469,27372672,27292181,27272424,27313080,27271802,27244712,27305095,27285078,27349859,27367893,27368493,27366781,27315946,27318931,27341904,27321566,27336083,27416404,27381338
Dijkstra Lista,5679336,2538934,2240023,907123,509987,487715,320942,340198,349145,276549,301185,371948,277240,265238,269145,275778,339076,330189,302037,318728,349827,341301,270117,329849,340128,340589,267622,314400,281929,350988,331131,318959,312587,290806,323847,277711,375114,330861,273433,336161,271569,267352,262062,326613,306976,325411,337163,318868,315943,309981,323647,316494,269926,271158,266710,326483,321724,268163,329028,333235,261431,307127,264907,269936,303540,350367,295153,254628,263214,261230,322575,261721,348684,310703,261370,302328,267162,266420,333406,330931,272581,263634,306846,327705,268083,338395,324840,269626,332254,323106,264236,259257,310041,278783,345458,323517,271329,276279,339096,330700
Dijkstra Matriz,15393725,3495349,2037062,1833901,1233365,794712,791194,981171,862168,638238,738325,867868,649268,701035,707046,686718,726423,952908,657734,890842,897063,638468,634901,811573,770857,818426,640101,840688,677812,714361,622328,636113,712337,629832,689443,526388,568657,682381,582853,584376,574919,553438,588213,602941,587011,570680,591610,595377,554561,674676,563757,704432,564089,552797,541266,639439,625494,586280,708189,565141,580769,577413,554381,591490,565511,582312,553759,576151,585809,554470,536687,500549,708610,722927,548740,569148,547558,574277,623991,577013,575100,552677,548719,635793,656823,562405,652034,591049,549952,698731,561714,552096,542819,656782,646102,584116,559921,541066,600958,577834
