Algoritmo utilizado,Teste 1,Teste 2,Teste 3,Teste 4,Teste 5,Teste 6,Teste 7,Teste 8,Teste 9,Teste 10,Teste 11,Teste 12,Teste 13,Teste 14,Teste 15,Teste 16,Teste 17,Teste 18,Teste 19,Teste 20,Teste 21,Teste 22,Teste 23,Teste 24,Teste 25,Teste 26,Teste 27,Teste 28,Teste 29,Teste 30,Teste 31,Teste 32,Teste 33,Teste 34,Teste 35,Teste 36,Teste 37,Teste 38,Teste 39,Teste 40,Teste 41,Teste 42,Teste 43,Teste 44,Teste 45,Teste 46,Teste 47,Teste 48,Teste 49,Teste 50,Teste 51,Teste 52,Teste 53,Teste 54,Teste 55,Teste 56,Teste 57,Teste 58,Teste 59,Teste 60,Teste 61,Teste 62,Teste 63,Teste 64,Teste 65,Teste 66,Teste 67,Teste 68,Teste 69,Teste 70,Teste 71,Teste 72,Teste 73,Teste 74,Teste 75,Teste 76,Teste 77,Teste 78,Teste 79,Teste 80,Teste 81,Teste 82,Teste 83,Teste 84,Teste 85,Teste 86,Teste 87,Teste 88,Teste 89,Teste 90,Teste 91,Teste 92,Teste 93,Teste 94,Teste 95,Teste 96,Teste 97,Teste 98,Teste 99,Teste 100
Bellman-Ford Lista,19396456,19111691,3140182,2863593,12743622,5537781,3541004,3763181,3673934,2519818,2568760,2510802,2542400,2546598,2575733,2572607,2575533,2563981,2555164,2560535,2552410,2556227,2557839,2565835,2561085,2505591,2519949,2506964,2511502,2509198,2498919,2512625,2524267,2492697,2510080,2488069,2586985,2533003,2512925,2564111,2509328,2514368,2569522,2531650,2509849,2492717,2505621,2515381,2687192,2533764,2499069,2489832,2519958,2528825,2561566,2506333,2497145,2719002,2509790,2510511,2510781,2497836,2576474,2509338,2513126,2530248,2520099,2557749,2544113,2550446,2531360,2558411,2553952,2551127,2550285,2568409,2549323,2546298,2547420,2551978,2556918,2728300,2523254,2487347,2479813,2496675,2502737,2506022,2502245,2514889,2481065,2501133,2495132,2497586,2501123,2495943,2509258,2501294,2499380,2507084
Bellman-Ford Matriz,26358249,24571065,11509086,11355928,14195867,10910883,13820763,13998958,10741124,10618825,10621590,10667796,10575765,10540197,10607453,10575334,10600310,10568531,10548122,10586665,10550797,10549394,10657257,10546278,10556588,10566637,10584341,10618274,10535769,10553863,10543053,10574742,10593177,10656756,10565425,10562299,10550287,10533405,10563852,10557229,10568671,10556979,10552030,10566678,10532574,10543374,10566346,10655073,10494852,10553192,10643611,10587326,10580603,10536570,10534947,10589551,10545297,10539697,10475046,10477460,10477721,10532283,10495444,10498098,10492799,10521372,10715796,10633582,10608185,10612052,10591303,10572258,10588328,10557350,10586053,10672547,10573670,10574311,10586865,10565195,10566527,10567809,10548694,10574703,10563982,10574621,10608897,10606211,10557269,10532793,10573690,10534627,10547351,10514689,10538815,10545587,10531371,10544966,10561427,10549435
Dijkstra Lista,4776242,1215461,804279,842982,1055100,850045,1011037,1024572,428794,310132,240712,193794,179276,199143,307727,292329,289603,152466,121949,99287,114625,109525,112261,115337,116007,96631,121698,124333,135925,109425,88526,107111,113313,115526,112341,112501,84438,107942,107462,104436,107942,107111,93596,134913,108403,110026,108413,107802,98364,107611,106370,114154,110948,86452,115917,114054,115817,114054,110187,90780,110428,165881,126478,130555,111890,103795,121167,114706,117881,116038,115276,90630,123792,115737,118663,118452,114314,90249,111520,113874,116559,118382,103093,91121,101150,106881,104456,107041,78477,98545,105217,107542,105107,103824,87715,103585,106530,106740,104616,82384
Dijkstra Matriz,15141953,3367398,1911256,1935642,1206193,1220580,1031064,968357,733235,696136,694033,670799,670648,731343,721985,720792,701256,686388,688462,651663,673163,696177,647415,579667,583695,609854,589606,703941,581151,572454,589786,539963,578436,566703,494578,536196,528832,523382,481774,527480,537779,535003,520406,530115,547567,539983,538400,559489,530135,513634,531136,529844,540023,571843,548419,536477,562456,512501,565361,535485,546987,545474,554441,551965,613231,622608,637155,642856,627498,638488,607500,620033,634821,622628,604665,610796,612659,617980,625263,589497,577274,547638,554550,544251,555652,537459,533952,555112,521228,540023,536617,433584,544461,567144,541566,555051,540084,481042,555993,510908
