Algoritmo utilizado,Teste 1,Teste 2,Teste 3,Teste 4,Teste 5,Teste 6,Teste 7,Teste 8,Teste 9,Teste 10,Teste 11,Teste 12,Teste 13,Teste 14,Teste 15,Teste 16,Teste 17,Teste 18,Teste 19,Teste 20,Teste 21,Teste 22,Teste 23,Teste 24,Teste 25,Teste 26,Teste 27,Teste 28,Teste 29,Teste 30,Teste 31,Teste 32,Teste 33,Teste 34,Teste 35,Teste 36,Teste 37,Teste 38,Teste 39,Teste 40,Teste 41,Teste 42,Teste 43,Teste 44,Teste 45,Teste 46,Teste 47,Teste 48,Teste 49,Teste 50,Teste 51,Teste 52,Teste 53,Teste 54,Teste 55,Teste 56,Teste 57,Teste 58,Teste 59,Teste 60,Teste 61,Teste 62,Teste 63,Teste 64,Teste 65,Teste 66,Teste 67,Teste 68,Teste 69,Teste 70,Teste 71,Teste 72,Teste 73,Teste 74,Teste 75,Teste 76,Teste 77,Teste 78,Teste 79,Teste 80,Teste 81,Teste 82,Teste 83,Teste 84,Teste 85,Teste 86,Teste 87,Teste 88,Teste 89,Teste 90,Teste 91,Teste 92,Teste 93,Teste 94,Teste 95,Teste 96,Teste 97,Teste 98,Teste 99,Teste 100
Bellman-Ford Lista,377033651,361751836,229424459,226178929,225902110,225997429,226887539,226275611,226740113,226411105,226500212,225422179,225760243,226594590,227812715,226115550,225942827,225768650,225974606,226289597,226281802,225777656,226056209,225653564,225799197,225038338,226144515,226188818,224767361,225271367,224929696,223505664,225241931,225204651,224397537,225467525,225596356,225263242,225380431,225117027,225213317,226060207,225463006,225482673,225394909,225440865,225756707,225818793,226237960,225454881,225845894,225362207,226340642,226076627,225896899,226233482,224869543,226112164,226262746,225531043,226049287,225717172,225780071,225344783,225627635,225069908,224837512,225386142,225847377,226059776,225355634,226127824,225301422,225349393,225078986,225369310,226057632,225550951,226149003,226417286,226056480,226329412,226466038,226944335,226224594,226037544,225603400,226954666,225463977,225616063,226413129,225145040,225658142,226139396,226136980,225393916,225660737,225257009,225276596,225429673
Bellman-Ford Matriz,619038936,623347171,414325866,406256625,413488515,413310250,413439262,412469764,413201016,410593803,413616425,413253904,412923575,412541117,412983046,411206493,411198838,411249604,411802070,412228570,412078439,411170726,411334473,411448697,409179820,411576106,411409674,412060635,411082840,411328963,411691302,411824031,411333902,411236418,411070507,410896741,411367385,411266014,411185653,411060128,411029572,410783539,408755934,411756565,411979684,411923378,411482130,411733281,411485627,411634976,411999792,411867884,411823470,411946482,412045478,410128119,412107543,411839190,412029497,411520973,411388584,412173127,412071234,411531994,411573441,412244781,410311293,412257755,412093658,411523407,411342318,411372093,411493250,412059623,411902008,411855260,411152952,411376722,411614138,411272677,411206682,411427919,410989826,411011276,411804676,411614389,411900554,411730837,411406809,411089573,411626330,411595342,411535200,410765806,411508419,411219688,411137784,411123928,411350022,411952022
Dijkstra Lista,12586487,17516698,2530919,3269314,2402478,2248839,3830287,4074425,3235170,2620357,3152435,3425799,3342602,3367810,4074546,3143157,2446320,3572142,2241927,2881117,3569478,4164614,2463953,2867170,3452719,3430456,3732233,3371797,3480732,2760811,2444567,4053276,3392796,2288834,2488190,2753146,3025076,3682901,3404057,3582201,3418995,3195326,2704655,3680005,2272003,4132685,2792520,3369563,3353913,2755931,4444469,2946880,3170128,2971165,3405550,3359614,3207419,3550982,2460858,3285094,2674048,3385021,4257009,2531911,2923395,2589378,3954811,3299942,3851576,3425648,3851086,3018514,3279875,3414256,3302146,3227075,2363335,2358946,3818415,3868949,3748443,3187411,2946248,3118682,3904977,3413214,3234569,2964984,3304280,4430844,3290865,3292628,2969332,2885695,3345738,3565320,3570410,3629880,2547901,3637555
Dijkstra Matriz,21507206,5536570,2661154,2457651,2440669,2384484,2408249,2325774,2313180,2290038,2276041,2551207,2434298,2309823,2264869,2210547,2160855,2163570,2172056,2153982,2228502,2248409,2126880,2091214,2169952,2153220,2142750,2321837,2178408,2127612,2099309,2177966,2135347,2096874,2119668,2074753,2173718,2221558,2161806,2139836,2167396,2174620,2200670,2231407,2179489,2217901,2217721,2154333,2218342,2124707,2191251,2132612,2122232,2111022,2143622,2178197,2133163,2239974,2159633,2128594,2136810,2118125,2241245,2121962,2149163,2141087,2161706,2109208,2179740,2102185,2110410,2085634,2134796,2422205,2095371,2148512,2074643,2138021,2107755,2134355,2160193,2138232,2124316,2142350,2166345,2167847,2141198,2106302,2089330,2083850,2205338,2182906,2206049,2196802,2264879,2191984,2171034,2182204,2171344,2159573
