Algoritmo utilizado,Teste 1,Teste 2,Teste 3,Teste 4,Teste 5,Teste 6,Teste 7,Teste 8,Teste 9,Teste 10,Teste 11,Teste 12,Teste 13,Teste 14,Teste 15,Teste 16,Teste 17,Teste 18,Teste 19,Teste 20,Teste 21,Teste 22,Teste 23,Teste 24,Teste 25,Teste 26,Teste 27,Teste 28,Teste 29,Teste 30,Teste 31,Teste 32,Teste 33,Teste 34,Teste 35,Teste 36,Teste 37,Teste 38,Teste 39,Teste 40,Teste 41,Teste 42,Teste 43,Teste 44,Teste 45,Teste 46,Teste 47,Teste 48,Teste 49,Teste 50,Teste 51,Teste 52,Teste 53,Teste 54,Teste 55,Teste 56,Teste 57,Teste 58,Teste 59,Teste 60,Teste 61,Teste 62,Teste 63,Teste 64,Teste 65,Teste 66,Teste 67,Teste 68,Teste 69,Teste 70,Teste 71,Teste 72,Teste 73,Teste 74,Teste 75,Teste 76,Teste 77,Teste 78,Teste 79,Teste 80,Teste 81,Teste 82,Teste 83,Teste 84,Teste 85,Teste 86,Teste 87,Teste 88,Teste 89,Teste 90,Teste 91,Teste 92,Teste 93,Teste 94,Teste 95,Teste 96,Teste 97,Teste 98,Teste 99,Teste 100
Bellman-Ford Lista,283252922,273464395,171940387,169305352,167518509,168676202,166967145,167120493,165531993,167417561,167448408,167421427,167140250,166933652,166778572,168466077,166275147,166383961,166348053,165206711,169762059,168486666,168970495,168960866,166424316,165672396,165878694,166849153,166626707,165727789,165471919,166393499,169674495,168040910,168074353,168228081,166655029,167225169,167364561,168108096,166461487,168209526,169105318,168095593,167104222,168984981,168276241,167809335,166476104,167728294,169871364,169659026,170788475,170634166,169829897,169233157,169434575,171002227,169416822,168939285,167768830,170914391,168655343,168503739,166318508,165941261,166303079,167385951,169932479,167603459,168081316,166825559,166944593,168588437,167637513,168011335,169337292,168573439,165334632,167994663,169294602,168937432,167922989,168683586,168774857,168386218,168376689,170434341,170416407,170984052,170287134,168863052,171457731,170146121,170629587,169360085,169830657,169049773,169898977,170854719
Bellman-Ford Matriz,605992035,604723516,438241591,438303097,438124311,437968479,438044771,437770507,433730547,437731484,428701530,437839798,437353234,437353155,437497244,437998595,437341232,437486313,436994682,437313209,437713550,437586422,437895351,437479952,437639541,437682883,437921971,437920188,437573627,437162476,437482417,437837022,437603965,437535486,437362301,437197733,437429918,437200989,437695826,437211669,431903318,437309242,437473710,437429867,437194456,437520678,437071956,437175170,437087516,437167786,437150393,437190398,437349457,437248598,437668857,437370948,437037561,437544193,437589748,437473259,437318739,437232468,437200698,437141106,437339178,437190479,437224462,437036850,437317567,437063891,437136247,436804955,437084640,437495992,437079661,437341963,437462399,436919190,437262333,437512623,436848717,437276911,437201199,437433554,431127893,437238609,437319711,445185120,437688863,437295936,437281890,437097504,436818451,437326173,437276991,437023556,437575171,437512633,437075192,437309231
Dijkstra Lista,12775492,12942686,2760139,2269568,2514488,3105828,1924701,3032900,2030410,2921232,2745472,2124346,2419840,3193391,2680640,1940952,2832144,2568169,2628892,3187742,3262582,2670631,2738188,2417436,1793526,1890648,2161566,2925980,2732678,2850860,2534686,3144290,1711101,2819862,2775238,1927106,2403190,2526050,2593347,1814004,3088806,2579641,2889302,2286060,2093739,3040937,2154422,1842498,3262552,2765549,2627350,2743448,2817026,3061074,2652006,1836246,1734134,2889381,2561376,1771003,2175181,2900152,2923385,2663769,2301068,1737601,2565544,1755794,2676913,2757354,2763416,2551298,2775969,2867541,2755089,2072308,2142039,1847366,2772473,2734030,2810864,2403970,3106489,2930619,2921322,2723260,2856770,2401696,2604227,2804823,1936693,2712109,2913296,2754679,2926241,2061438,2533073,2537752,2928866,2152449
Dijkstra Matriz,21991574,6269324,2813509,2421554,2336745,2491324,2271783,2213673,2201300,2299264,2222901,2219494,2193005,2162398,2160744,2091405,2157999,2428748,2145305,2085674,2192685,2111322,2191051,2072229,2107584,2080283,2112704,2163560,2309624,2144404,2189719,2561437,2358886,2460807,2642589,2065686,2099549,2109879,2138533,2118234,2476377,2374225,2524316,2081556,2101553,2098147,2116752,2102034,2126309,2111282,2119106,2138983,2596382,2645434,2279647,2083298,2101644,2577687,2093879,2097997,2091455,2427164,2459926,2322839,2063812,2106693,2106423,2088349,2318180,2146278,2416454,2605188,2544795,2138904,2664539,2105491,2090452,2106612,2098157,2401406,2123294,2111371,2382510,2161005,2095321,2343938,2095301,2104078,2427705,2104509,2108507,2353896,2450387,2316526,2071618,2084141,2071246,2489511,2217641,2101875
